Truck,Date,Location
1,7/1/15,A
1,7/2/15,B
1,7/3/15,A
1,7/4/15,B
1,7/5/15,C
1,7/6/15,A
1,7/7/15,B
1,7/8/15,C
2,7/1/15,B
2,7/4/15,B
2,7/5/15,B
2,7/6/15,A
2,7/7/15,B
2,7/8/15,B
2,7/9/15,B
3,7/5/15,C
3,7/6/15,A
3,7/7/15,B
3,7/8/15,C
3,7/9/15,A
1,7/10/15,A
1,7/11/15,A
1,7/12/15,A
1,7/13/15,B
1,7/14/15,A
1,7/15/15,A
1,7/16/15,A
1,7/17/15,C
2,7/10/15,B
2,7/11/15,A
2,7/12/15,A
2,7/13/15,A
2,7/14/15,B
2,7/15/15,B
2,7/16/15,B
3,7/10/15,C
3,7/11/15,C
3,7/12/15,C
3,7/13/15,C
3,7/14/15,A
1,7/16/15,A
1,7/17/15,A
1,7/18/15,A
1,7/19/15,B
1,7/20/15,A
1,7/21/15,A
1,7/22/15,A
1,7/23/15,C
2,7/16/15,B
2,7/17/15,A
2,7/18/15,A
2,7/19/15,A
2,7/20/15,B
2,7/21/15,B
2,7/22/15,B
3,7/16/15,C
3,7/17/15,C
3,7/18/15,C
3,7/19/15,C
3,7/20/15,A
1,7/22/15,B
1,7/23/15,B
1,7/24/15,A
1,7/25/15,B
1,7/26/15,A
1,7/27/15,A
1,7/28/15,A
1,7/29/15,C
2,7/22/15,B
2,7/23/15,A
2,7/24/15,B
2,7/25/15,B
2,7/26/15,B
2,7/27/15,B
2,7/28/15,B
3,7/22/15,C
3,7/23/15,A
3,7/24/15,A
3,7/25/15,C
3,7/26/15,A
1,7/30/15,B
1,7/31/15,B
1,8/1/15,A
1,8/2/15,B
1,8/3/15,B
1,8/4/15,A
1,8/5/15,A
1,8/6/15,C
2,7/30/15,B
2,7/31/15,A
2,8/1/15,B
2,8/2/15,A
2,8/3/15,B
2,8/4/15,B
2,8/5/15,B
3,7/30/15,C
3,7/31/15,C
3,8/1/15,A
3,8/2/15,C
3,8/3/15,A
1,8/8/15,A
1,8/9/15,B
1,8/10/15,B
1,8/11/15,B
1,8/12/15,A
1,8/13/15,C
2,8/8/15,B
2,8/9/15,A
2,8/10/15,B
2,8/11/15,B
2,8/12/15,B
2,8/13/15,B
2,8/14/15,B
3,8/8/15,C
3,8/9/15,A
3,8/10/15,A
3,8/11/15,C
3,8/12/15,A
