,Location,Truck,Start_Time,End_Time,Date
0,Clark and Monroe,Paris Ouh La La,11:00 AM,02:00 PM,2015-08-03
1,Clark and Monroe,Robinson's No.1 Ribs,11:00 AM,02:00 PM,2015-08-03
2,Clark and Monroe,The Slide Ride,11:00 AM,01:30 PM,2015-08-03
3,Clark and Monroe,Doughnut Vault,07:00 AM,12:41 PM,2015-08-03
4,Clark and Monroe,Paris Ouh La La,11:15 AM,02:00 PM,2015-08-04
5,Clark and Monroe,The Slide Ride,11:14 AM,01:14 PM,2015-08-04
6,Clark and Monroe,The Corner Farmacy,07:00 AM,01:30 PM,2015-08-04
7,Clark and Monroe,Jack's Fork in the Road,11:00 AM,02:00 PM,2015-08-04
8,Clark and Monroe,Happy Lobster Truck,11:00 AM,02:00 PM,2015-08-04
9,Clark and Monroe,Robinson's No.1 Ribs,11:00 AM,02:00 PM,2015-08-04
10,Clark and Monroe,La Cocinita,11:00 AM,02:00 PM,2015-08-04
11,Clark and Monroe,Chicago's Finest,11:24 AM,01:30 PM,2015-08-05
12,Clark and Monroe,The Fat Shallot,11:00 AM,02:00 PM,2015-08-05
13,Clark and Monroe,Southern Pitch,11:52 AM,01:52 PM,2015-08-05
14,Clark and Monroe,Bob Cha Food Truck,10:41 AM,01:30 PM,2015-08-05
15,Clark and Monroe,Tamale Spaceship,11:15 AM,01:30 PM,2015-08-05
16,Clark and Monroe,Paris Ouh La La,11:00 AM,02:00 PM,2015-08-05
17,Clark and Monroe,Döner Men,11:00 AM,02:00 PM,2015-08-07
18,Clark and Monroe,Flirty Cupcakes,01:30 PM,02:45 PM,2015-08-07
19,Lasalle and Adams,Jerk,11:00 AM,02:00 PM,2015-08-03
20,Lasalle and Adams,Harold's Chicken Shack,11:00 AM,02:00 PM,2015-08-03
21,Lasalle and Adams,The More Mobile,01:08 PM,03:08 PM,2015-08-04
22,Lasalle and Adams,Model Chef,11:00 AM,02:00 PM,2015-08-04
23,Lasalle and Adams,5411 Empanadas,10:40 AM,01:00 PM,2015-08-04
24,Lasalle and Adams,Doughnut Vault,06:54 AM,12:18 PM,2015-08-04
25,Lasalle and Adams,Cupcakes for Courage,01:00 PM,02:15 PM,2015-08-04
26,Lasalle and Adams,The Corner Farmacy,07:21 AM,01:21 PM,2015-08-05
27,Lasalle and Adams,Flirty Cupcakes,04:15 PM,05:45 PM,2015-08-05
28,Lasalle and Adams,Chicago Cupcake,09:13 AM,03:00 PM,2015-08-05
29,Wabash and Jackson,Flirty Cupcakes,02:30 PM,04:00 PM,2015-08-05
30,Wabash and Jackson,Jerk,11:00 AM,02:00 PM,2015-08-05
