Truck,Type
Blue Street Market,American
Da Lobsta,American
Eastman Egg,American
Harold's Chicken Shack,Meat
Haute Sausage,American
Haute and Ready,American
Husky Hog BBQ,Meat
Jack's Fork in the Road,American
Model Chef,American
PORKCHOP,Meat
Soups in the Loop,American
Southern Pitch,American
The Corner Farmacy,American
The More Mobile,Dessert
The Roost Truck,Meat
The Slide Ride,American
Windy City Patty Wagon,American
Bob Cha Food Truck,Asian
Chicago Lunch Box,Asian
PIKO Street Kitchen,Asian
Wow Bao,Asian
Yum Dum Truck,Asian
Baby Cakes,Dessert
Beaver's Donuts,Dessert
Chicago Cupcake,Dessert
Cupcake Gangsters,Dessert
Cupcakes for Courage,Dessert
Doughnut Vault,Dessert
Flirty Cupcakes,Dessert
La Boulangerie,French
Paris Ouh La La,French
The Fat Shallot,French
Caponies Express,Italian
Cheesies Truck,Italian
Chicago Pizza Boss,Italian
Gino's Steak Truck,Italian
La Cocinita,Mexican
Mina's,Mexican
Tamale Spaceship,Mexican
Taquero Fusion,Mexican
The Jibarito Stop,Mexican
The Salsa Truck,Mexican
5411 Empanadas,Other
Bridgeport Pasty,Other
D’_ner Men,Other
Jerk,Other
Pierogi Street,Other
